Day,Month,Year,Source,Individual Polls,Moving Average
3,25,2019,PEW,17,17
12,4,2017,PEW,18,18
4,11,2017,PEW,20,19
4,5,2016,PEW,19,18
10,4,2015,PEW,19,18
7,20,2014,CNN,14,19
2,26,2014,PEW,24,18
11,15,2013,CBS/NYT,17,20
10,13,2013,PEW,19,19
5,31,2013,CBS/NYT,20,20
2,6,2013,CBS/NYT,20,22
1,13,2013,PEW,26,23
10,31,2012,NES,22,19
10,19,2011,CBS/NYT,10,17
10,4,2011,PEW,20,15
9,23,2011,CNN,15,18
8,21,2011,PEW,19,21
2,28,2011,PEW,29,23
10,21,2010,CBS/NYT,22,23
10,1,2010,CBS/NYT,18,21
9,6,2010,PEW,24,23
9,1,2010,CNN,25,23
4,5,2010,CBS/NYT,20,23
4,5,2010,PEW,25,22
3,21,2010,PEW,22,24
2,12,2010,CNN,26,22
2,5,2010,CBS/NYT,19,21
1,10,2010,GALLUP,19,20
12,20,2009,CNN,20,21
8,31,2009,CBS/NYT,24,22
6,12,2009,CBS/NYT,20,23
12,21,2008,CNN,26,25
10,15,2008,NES,31,24
10,13,2008,CBS/NYT,17,24
7,9,2007,CBS/NYT,24,24
1,9,2007,PEW,31,28
10,8,2006,CBS/NYT,29,29
9,15,2006,CBS/NYT,28,30
2,5,2006,PEW,34,31
1,20,2006,CBS/NYT,32,33
1,6,2006,GALLUP,32,32
12,2,2005,CBS/NYT,32,32
9,11,2005,PEW,31,31
9,9,2005,CBS/NYT,29,30
6,19,2005,GALLUP,30,35
10,15,2004,NES,46,39
7,15,2004,CBS/NYT,40,41
3,21,2004,PEW,36,38
10,26,2003,GALLUP,37,36
7,27,2003,CBS/NYT,36,43
10,15,2002,NES,55,46
9,4,2002,GALLUP,46,46
9,2,2002,CBS/NYT,38,40
7,13,2002,CBS/NYT,38,40
6,17,2002,GALLUP,44,43
1,24,2002,CBS/NYT,46,46
12,7,2001,CBS/NYT,48,49
10,25,2001,CBS/NYT,55,54
10,6,2001,GALLUP,60,49
1,17,2001,CBS/NYT,31,44
10,31,2000,CBS/NYT,40,38
10,15,2000,NES,44,42
7,9,2000,GALLUP,42,39
4,2,2000,ABC/POST,31,38
2,14,2000,PEW,40,34