,state_name,Emp_pop_all,Pct_Emp_pop_all,UnEmp_pop_all,Pct_UnEmp_pop_all,Emp_pop_Female,Pct_Emp_pop_Female,Total_median_income,Total_mean_income,Per_capita_income,Median_earnings,Median_male,Median_female,Pct_Pov_pop_all18,region_code,state_abbr,state_fips_code,state_id
0,Alabama,3876136,3876136,1642927,42.4,2022516,2022516,46472,64476,25746,29288,46602,35060,15.6,3,AL,1.0,2
1,Alaska,571453,571453,170831,29.9,271063,271063,76114,94469,35065,37369,58955,47160,8.9,4,AK,2.0,1
2,Arizona,5371341,5371341,2174225,40.5,2718818,2718818,53510,73735,27964,30811,46294,38810,14.7,4,AZ,4.0,5
3,Arkansas,2351061,2351061,984959,41.9,1209967,1209967,43813,61330,24426,27923,41576,32813,15.8,3,AR,5.0,3
4,California,30910058,30910058,11297281,36.5,15665864,15665864,67169,96104,33128,32738,52054,45568,13.4,4,CA,6.0,6
5,Colorado,4320213,4320213,1373859,31.8,2160200,2160200,65458,88388,34845,35192,52841,43345,10.6,4,CO,8.0,7
6,Connecticut,2928091,2928091,973727,33.3,1515179,1515179,73781,105998,41365,40335,63908,51549,9.1,1,CT,9.0,8
7,Delaware,762704,762704,287930,37.8,397693,397693,63036,84146,32625,35294,52220,44328,10.7,3,DE,10.0,11
8,District of Columbia,564615,564615,172194,30.5,300088,300088,77649,116090,50832,50810,74135,65408,15.6,3,DC,11.0,10
9,Florida,16645386,16645386,6872624,41.3,8587836,8587836,50883,72993,28774,29386,42157,36298,13.7,3,FL,12.0,12
10,Georgia,7985333,7985333,2959027,37.1,4144082,4144082,52977,74763,28015,31012,46555,37814,14.6,3,GA,13.0,13
11,Hawaii,1145914,1145914,399474,34.9,573554,573554,74923,95569,32511,35680,50275,41412,9.6,4,HI,15.0,15
12,Idaho,1271362,1271362,476700,37.5,638754,638754,50985,67338,25471,26952,45061,33460,13.3,4,ID,16.0,17
13,Illinois,10237883,10237883,3547688,34.7,5261565,5261565,61229,85262,32924,34521,54366,42357,11.9,2,IL,17.0,18
14,Indiana,5216340,5216340,1886968,36.2,2673655,2673655,52182,69197,27305,30810,49182,36431,12.7,2,IN,18.0,19
15,Iowa,2470612,2470612,800164,32.4,1253631,1253631,56570,73510,30063,31887,49171,37596,11.1,2,IA,19.0,16
16,Kansas,2264633,2264633,755149,33.3,1145398,1145398,55477,74633,29600,31401,48614,37387,11.6,2,KS,20.0,20
17,Kentucky,3526066,3526066,1432494,40.6,1807635,1807635,46535,64436,25888,29194,45308,35797,16.3,3,KY,21.0,21
18,Louisiana,3674007,3674007,1469952,40.0,1896553,1896553,46710,66861,26205,30548,50365,34083,17.0,3,LA,22.0,22
19,Maine,1104528,1104528,407186,36.9,569749,569749,53024,70210,29886,30419,48355,38467,12.0,1,ME,23.0,25
20,Maryland,4800851,4800851,1533782,31.9,2503614,2503614,78916,103845,39070,41604,61558,52055,8.7,3,MD,24.0,24
21,Massachusetts,5576176,5576176,1820695,32.7,2901798,2901798,74167,101858,39913,40439,64083,52322,10.2,1,MA,25.0,23
22,Michigan,7985908,7985908,3095566,38.8,4096986,4096986,52668,72091,28938,30416,51435,39723,13.8,2,MI,26.0,26
23,Minnesota,4347413,4347413,1310717,30.1,2199595,2199595,65699,86796,34712,35956,54023,44030,9.6,2,MN,27.0,27
24,Mississippi,2341439,2341439,991575,42.3,1222036,1222036,42009,58371,22500,27751,41853,32140,18.6,3,MS,28.0,29
25,Missouri,4844505,4844505,1781848,36.8,2492623,2492623,51542,70144,28282,30652,46846,36641,13.0,2,MO,29.0,28
26,Montana,828198,828198,301810,36.4,413871,413871,50801,68622,28706,27472,45848,34584,13.4,4,MT,30.0,30
27,Nebraska,1474713,1474713,443708,30.1,746428,746428,56675,74309,29866,31459,47604,36838,10.8,2,NE,31.0,31
28,Nevada,2292486,2292486,827166,36.1,1145714,1145714,55434,73862,28450,31465,45466,37184,12.4,4,NV,32.0,37
29,New Hampshire,1102267,1102267,353488,32.1,560201,560201,71305,91605,36914,36711,57295,44607,7.6,1,NH,33.0,34
30,New Jersey,7197215,7197215,2472973,34.4,3724619,3724619,76475,105917,39069,40647,63264,51055,9.4,1,NJ,34.0,35
31,New Mexico,1643708,1643708,681585,41.5,836158,836158,46718,64625,25257,27254,43549,35546,17.9,4,NM,35.0,36
32,New York,16080981,16080981,5904779,36.7,8376770,8376770,62765,93443,35752,36230,54262,47227,13.4,1,NY,36.0,38
33,North Carolina,8021719,8021719,3001888,37.4,4163053,4163053,50320,70523,28123,30326,44647,37017,14.1,3,NC,37.0,32
34,North Dakota,592279,592279,174386,29.4,288453,288453,61285,81334,34256,34852,51970,37988,10.6,2,ND,38.0,33
35,Ohio,9290812,9290812,3415557,36.8,4790552,4790552,52407,71119,29011,31266,50523,38949,13.0,2,OH,39.0,39
36,Oklahoma,3043261,3043261,1174218,38.6,1548840,1548840,49767,67682,26461,30082,45587,34016,14.1,3,OK,40.0,40
37,Oregon,3260075,3260075,1233328,37.8,1658211,1658211,56119,75851,30410,30442,50375,40556,13.7,4,OR,41.0,41
38,Pennsylvania,10419971,10419971,3896305,37.4,5372121,5372121,56951,78192,31476,33182,52144,41156,11.6,1,PA,42.0,42
39,Rhode Island,871329,871329,303309,34.8,452976,452976,61043,82407,33315,34931,53627,44973,12.0,1,RI,44.0,44
40,South Carolina,3926466,3926466,1544566,39.3,2042058,2042058,48781,66759,26645,28857,44361,35119,14.3,3,SC,45.0,45
41,South Dakota,666450,666450,208427,31.3,332975,332975,54126,71085,28761,30588,44831,34231,12.4,2,SD,46.0,46
42,Tennessee,5270257,5270257,2044708,38.8,2730044,2730044,48708,68386,27277,29790,44036,35967,14.4,3,TN,47.0,47
43,Texas,20998008,20998008,7432970,35.4,10660959,10660959,57051,80879,28985,31494,48369,38211,13.5,3,TX,48.0,48
44,Utah,2179088,2179088,698431,32.1,1091552,1091552,65325,83147,26907,30094,51955,36501,10.4,4,UT,49.0,49
45,Vermont,520031,520031,177386,34.1,266215,266215,57808,75621,31917,31576,48966,41076,10.6,1,VT,50.0,52
46,Virginia,6708391,6708391,2276891,33.9,3440791,3440791,68766,94229,36268,36440,56406,44660,10.1,3,VA,51.0,51
47,Washington,5734852,5734852,2049033,35.7,2887525,2887525,66174,88563,34869,36286,58374,45206,11.2,4,WA,53.0,53
48,West Virginia,1503051,1503051,697324,46.4,766555,766555,44061,59634,24774,28720,46997,33245,16.0,3,WV,54.0,55
49,Wisconsin,4618274,4618274,1530555,33.1,2339786,2339786,56759,74372,30557,32153,50466,39961,11.1,2,WI,55.0,54
50,Wyoming,459782,459782,149034,32.4,225317,225317,60938,76731,31214,32205,53727,37915,10.6,4,WY,56.0,56
